Year, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960 ,1392.276589,459.26,
1961 ,1448.625355,471.4794,3.79
1962 ,1550.54821,495.8684,5.316
1963 ,1671.614362,523.4413,5.1854
1964 ,1830.292049,561.3501,6.5583
1965 ,1993.905212,599.0789,5.5491
1966 ,2163.89924,636.7104,5.7126
1967 ,2302.534962,663.8499,4.1526
1968 ,2485.219043,701.9887,5.9423
1969 ,2741.178863,758.3486,5.8149
1970 ,2997.227945,812.1893,3.9686
1971 ,3310.780486,878.6518,4.2763
1972 ,3817.146966,993.093,5.6161
1973 ,4656.977987,1187.9744,6.4074
1974 ,5367.588624,1343.2498,1.7954
1975 ,5978.921282,1468.9811,0.6339
1976 ,6499.38183,1568.6885,5.3032
1977 ,7350.802831,1743.5735,4.0995
1978 ,8656.556366,2017.8854,4.1371
1979 ,10054.23683,2302.9273,4.1758
1980 ,11336.61934,2551.89,1.8772
1981 ,11727.63365,2594.0403,1.9321
1982 ,11609.79972,2522.354,0.3937
1983 ,11840.09517,2527.2662,2.6491
1984 ,12271.63037,2574.4408,4.6745
1985 ,12862.16248,2651.9043,3.6986
1986 ,15207.77351,3080.9306,3.4429
1987 ,17310.25617,3445.248,3.7322
1988 ,19341.23911,3782.3933,4.6383
1989 ,20197.46756,3882.1136,3.7542
1990 ,22783.81262,4304.0973,2.8659
1991 ,23763.55578,4414.8382,1.4598
1992 ,25410.34586,4645.1663,2.0698
1993 ,25826.26158,4647.7508,1.8082
1994 ,27876.83677,4940.8367,3.3054
1995 ,31048.48092,5421.6091,3.0921
1996 ,31741.86021,5461.7874,3.5932
1997 ,31627.82489,5364.2144,3.8777
1998 ,31546.55851,5275.5821,2.8192
1999 ,32745.48469,5401.5115,3.5528
2000 ,33839.62912,5507.4629,4.515
2001 ,33623.95926,5400.2772,2.0092
2002 ,34917.96116,5535.4229,2.3048
2003 ,39152.31906,6127.7148,3.1096
2004 ,44123.98334,6818.9157,4.4712
2005 ,47784.43929,7292.4712,4.0046
2006 ,51780.23375,7804.1803,4.4204
2007 ,58349.49619,8686.009,4.3819
2008 ,64120.7665,9427.5719,2.0692
2009 ,60804.06695,8830.7527,-1.3414
2010 ,66605.76797,9556.569,4.5408
2011 ,73857.64846,10471.0143,3.3103
2012 ,75501.1513,10573.0645,2.7092
2013 ,77607.18526,10735.2613,2.8079
2014 ,79733.15303,10896.2156,3.0901
2015 ,75187.84184,10153.7808,3.0786
2016 ,76461.54675,10205.8488,2.802
2017 ,81400.67024,10741.4855,3.385
2018 ,86456.88825,11284.1833,3.2855
2019 ,87645.25564,11319.7541,2.5913
2020 ,85105.60361,10881.7037,-3.1154
2021 ,96513.07736,12234.7968,5.8698
2022 ,100562.0111,,1.01952
